date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,fire_count,fire_frp_sum,fire_frp_mean
2018-06-19,9.02,1,18.0875,24.2,10.3,5.8500000000000005,46.79166666666666,71.0,28.0,0.0,,9.666666666666666,26.0,89.55666666666667,53.99583333333334,24.1,712.0,11212.33,15.747654494382022
2018-06-20,6.94,1,19.725,26.5,12.2,7.879166666666666,48.41666666666666,72.0,30.0,0.0,,18.0,31.0,89.21375,51.30833333333334,24.1,577.0,12627.73,21.88514731369151
2018-07-16,8.27,1,22.3,30.1,12.1,5.504166666666666,36.54166666666666,64.0,19.0,0.0,,11.5,24.0,89.22000000000001,52.31666666666667,24.1,310.0,1375.31,4.436483870967741
2018-07-17,10.5,1,23.8125,30.9,14.2,8.975,40.29166666666666,61.0,25.0,0.0,,10.541666666666666,22.0,89.06208333333335,39.225,24.1,428.0,4922.87,11.502032710280373
2018-07-18,7.06,1,19.191304347826087,24.1,15.5,12.234782608695651,64.73913043478261,87.0,49.0,0.0,,15.73913043478261,33.0,88.98565217391305,37.369565217391305,8.1,1407.0,31421.73,22.332430703624734
2018-07-19,8.61,1,19.35,25.7,13.4,10.9625,60.66666666666666,85.0,36.0,0.0,,12.5,33.0,89.09500000000001,28.808333333333334,24.1,656.0,16185.13,24.672454268292682
2018-07-20,8.21,1,18.620833333333334,28.9,11.5,9.408333333333331,62.625,91.0,12.0,0.0,,16.291666666666668,37.0,88.65041666666667,25.129166666666663,16.1,805.0,34210.73,42.49780124223603
2018-07-21,2.99,1,15.508333333333333,23.0,10.0,4.979166666666667,53.54166666666666,80.0,19.0,0.0,,16.416666666666668,40.0,88.99958333333332,37.55,24.1,1570.0,19267.99,12.272605095541403
2018-07-22,3.59,1,16.7125,22.4,10.8,6.0125,50.333333333333336,72.0,32.0,0.0,,21.125,44.0,89.75291666666668,41.24166666666667,24.1,1025.0,5044.45,4.921414634146341
2018-07-23,5.36,1,14.904166666666669,22.0,9.8,8.829166666666667,68.625,90.0,43.0,0.0,,13.916666666666666,45.0,89.9175,37.8875,16.1,615.0,9478.66,15.412455284552845
2018-07-24,7.51,1,13.308333333333332,14.9,11.6,10.7625,84.875,94.0,70.0,0.0,,11.125,26.0,89.96291666666667,13.891666666666667,6.4,311.0,1559.67,5.015016077170419
2018-07-25,6.07,1,16.45,21.9,9.9,9.8375,66.91666666666667,94.0,43.0,0.0,,9.541666666666666,22.0,89.99041666666666,21.570833333333336,11.3,579.0,5100.55,8.809240069084629
2018-07-26,14.4,1,16.654166666666665,23.1,11.8,8.991666666666667,63.083333333333336,86.0,35.0,0.0,,11.0,40.0,89.81458333333335,19.500000000000004,11.3,1036.0,7620.74,7.355926640926641
2018-07-27,15.9,1,16.595833333333335,22.3,10.2,9.0125,62.66666666666666,84.0,40.0,0.0,,6.291666666666667,19.0,89.665,18.96666666666667,12.9,1407.0,19994.41,14.210668088130774
2018-07-28,13.6,1,18.4375,25.4,9.8,7.05,52.333333333333336,89.0,27.0,0.0,,5.125,13.0,89.52666666666666,18.166666666666668,16.1,1244.0,10304.39,8.283271704180065
2018-07-29,12.0,1,20.8625,28.5,11.6,6.75,43.833333333333336,77.0,21.0,0.0,,7.416666666666667,18.0,89.64583333333333,16.233333333333334,11.3,1137.0,15461.2,13.598240985048374
2018-07-30,13.3,1,21.383333333333336,31.3,13.8,8.979166666666666,49.66666666666666,79.0,17.0,0.0,,13.458333333333334,50.0,89.50458333333334,14.3,8.1,1552.0,14978.35,9.650998711340206
2018-07-31,11.7,1,19.825,25.4,12.9,13.066666666666668,66.20833333333333,87.0,46.0,0.0,,14.458333333333334,28.0,89.55916666666667,14.966666666666669,9.7,1900.0,25841.66,13.600873684210526
2018-08-01,17.0,1,20.695833333333333,28.9,15.4,12.683333333333332,62.833333333333336,86.0,32.0,0.0,,15.875,24.0,88.81291666666668,12.766666666666666,8.1,1855.0,24187.35,13.03900269541779
2018-08-02,12.4,1,17.6875,21.4,14.4,11.304166666666667,67.0,85.0,47.0,0.0,,10.958333333333334,22.0,88.58166666666666,16.429166666666667,6.4,2806.0,37855.43,13.490887384176764
2018-08-03,11.5,1,17.916666666666668,23.7,12.3,7.629166666666666,53.208333333333336,83.0,29.0,0.0,,13.041666666666666,37.0,88.49291666666666,17.033333333333335,8.1,2824.0,30052.95,10.641979461756375
2018-08-04,11.7,1,15.470833333333331,17.2,13.8,9.75,69.0,81.0,55.0,0.0,,12.958333333333334,26.0,89.03166666666668,18.90833333333333,11.3,1450.0,15968.960000000001,11.013075862068966
2018-08-07,33.8,1,23.52083333333333,28.6,16.2,6.55,34.291666666666664,52.0,22.0,0.0,,13.416666666666666,26.0,88.99416666666667,14.966666666666669,6.4,3727.0,70723.88,18.976088006439497
2018-08-08,37.8,1,21.279166666666665,29.3,12.5,7.858333333333333,45.16666666666666,70.0,23.0,0.0,,9.916666666666666,20.0,89.16541666666667,6.708333333333333,4.8,5534.0,99856.58,18.044195880014456
2018-08-09,43.5,1,24.75,33.4,15.0,7.524999999999999,36.66666666666666,63.0,18.0,0.0,,10.125,23.0,89.18666666666667,7.9375,4.8,5998.0,207803.37,34.645443481160385
