date,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km
2019-07-20,13.25,17.7,10.3,10.020833333333334,81.08333333333333,92.0,66.0,0.0,,16.916666666666668,28.0,89.41916666666667,22.170833333333334,6.4
2019-07-21,15.616666666666667,21.9,8.0,9.299999999999999,68.625,95.0,44.0,0.0,,16.5,35.0,89.70791666666666,28.6125,16.1
2019-07-22,18.604166666666668,24.8,10.1,10.991666666666667,63.041666666666664,88.0,40.0,0.0,,9.458333333333334,16.0,89.445,35.52916666666667,16.1
2019-07-23,23.516666666666666,30.4,15.1,12.883333333333333,54.458333333333336,86.0,30.0,0.0,,13.583333333333334,27.0,89.10708333333334,39.891666666666666,16.1
2019-07-24,19.845833333333335,23.0,16.1,6.116666666666666,41.166666666666664,69.0,30.0,0.0,,24.541666666666668,44.0,88.57541666666667,38.5625,8.1
2019-07-25,20.1375,25.7,14.6,3.141666666666667,32.875,43.0,23.0,0.0,,25.208333333333332,40.0,88.88791666666667,47.27916666666667,24.1
2019-07-26,20.575,27.5,11.0,6.8999999999999995,42.541666666666664,68.0,26.0,0.0,,11.625,26.0,89.08749999999999,48.62083333333334,24.1
2019-07-27,19.841666666666665,27.7,16.0,6.008333333333333,41.583333333333336,61.0,23.0,0.0,,19.416666666666668,49.0,88.74791666666665,38.8875,24.1
2019-07-28,17.570833333333333,21.5,14.5,6.266666666666667,47.666666666666664,71.0,38.0,0.0,,15.75,32.0,89.38583333333334,48.62083333333334,24.1
2019-07-29,17.337500000000002,23.2,10.3,8.958333333333334,59.708333333333336,82.0,38.0,0.0,,11.291666666666666,20.0,89.08,43.925000000000004,24.1
2019-07-30,17.754166666666666,25.4,11.5,10.645833333333334,64.41666666666667,85.0,35.0,0.0,,14.625,41.0,88.77458333333334,33.85,24.1
2019-07-31,18.729166666666668,24.7,10.7,10.262500000000001,59.833333333333336,85.0,40.0,0.0,,13.75,27.0,89.08916666666666,35.53333333333333,16.1
2019-08-01,18.558333333333334,26.0,13.3,12.799999999999999,71.04166666666667,91.0,43.0,0.0,,13.5,26.0,89.03916666666667,24.058333333333334,8.1
2019-08-02,22.525000000000002,30.1,13.6,8.008333333333333,46.0,85.0,19.0,0.0,,14.208333333333334,33.0,88.85791666666667,46.06666666666667,19.3
2019-08-03,17.9875,23.1,13.9,8.65,55.375,72.0,31.0,0.0,,15.291666666666666,32.0,89.22500000000001,39.8875,24.1
2019-08-04,17.787499999999998,23.8,10.6,7.404166666666666,53.291666666666664,80.0,27.0,0.0,,8.916666666666666,21.0,89.46499999999999,30.4875,24.1
2019-08-05,18.945833333333333,26.6,10.6,8.616666666666667,53.458333333333336,78.0,31.0,0.0,,9.916666666666666,22.0,89.25333333333333,27.8125,16.1
2019-08-06,15.950000000000001,20.1,12.3,11.325000000000001,74.58333333333333,93.0,58.0,0.0,,15.333333333333334,28.0,89.36083333333333,20.245833333333334,8.1
2019-08-07,16.0125,23.1,11.2,11.9625,78.33333333333333,94.0,50.0,0.0,,13.166666666666666,21.0,89.11041666666667,13.100000000000001,6.4
2019-08-08,20.4375,28.4,12.8,11.608333333333334,61.083333333333336,92.0,26.0,0.0,,12.166666666666666,23.0,88.85583333333334,29.55416666666667,16.1
2019-08-09,14.008333333333333,16.2,10.7,11.129166666666668,82.91666666666667,95.0,72.0,0.0,,20.625,33.0,89.15125,17.316666666666666,3.2
2019-08-10,11.8375,14.1,10.2,8.970833333333333,82.91666666666667,95.0,71.0,0.0,,17.291666666666668,25.0,89.40416666666665,16.1625,6.4
2019-08-11,12.941666666666668,17.1,10.2,10.295833333333333,84.16666666666667,96.0,69.0,0.0,,14.5,25.0,89.02791666666667,13.833333333333334,4.0
2019-08-12,12.487499999999999,13.8,11.8,10.966666666666667,90.41666666666667,95.0,82.0,0.0,,13.958333333333334,20.0,89.26375,11.1625,6.4
2019-08-13,15.049999999999999,20.3,11.9,11.0,78.08333333333333,95.0,48.0,0.0,,8.291666666666666,14.0,89.59416666666668,17.900000000000002,8.1
2019-08-14,16.508333333333333,21.3,11.5,9.5875,66.54166666666667,93.0,42.0,0.0,,9.208333333333334,19.0,89.35833333333333,41.25000000000001,11.3
2019-08-15,19.175,24.4,13.1,6.983333333333333,46.791666666666664,79.0,29.0,0.0,,11.333333333333334,32.0,89.01375,46.26666666666667,24.1
2019-08-16,12.220833333333333,15.1,9.1,7.620833333333334,74.16666666666667,94.0,56.0,0.0,,18.125,34.0,88.84916666666668,22.104166666666668,6.4
2019-08-17,12.858333333333334,18.1,7.1,3.2291666666666665,54.25,83.0,35.0,0.0,,9.75,17.0,88.62166666666667,47.275000000000006,24.1
2019-08-18,17.316666666666666,24.7,11.6,6.4125000000000005,50.708333333333336,79.0,23.0,0.0,,11.958333333333334,28.0,88.17750000000001,39.895833333333336,24.1
2019-08-19,13.733333333333334,19.3,7.7,7.666666666666667,68.33333333333333,91.0,48.0,0.0,,13.75,24.0,88.88625,25.125,16.1
2019-08-20,17.633333333333333,25.4,9.9,8.733333333333333,58.458333333333336,82.0,36.0,0.0,,17.625,26.0,89.36125,27.691666666666666,11.3
2019-08-21,21.416666666666668,31.0,11.8,8.341666666666667,48.875,84.0,18.0,0.0,,15.125,30.0,88.6225,27.416666666666668,11.3
2019-08-22,16.470833333333335,20.0,11.6,10.054166666666665,67.25,95.0,50.0,0.0,,13.416666666666666,31.0,88.76541666666667,29.629166666666666,4.8
2019-08-23,16.791666666666668,22.9,11.1,11.158333333333333,72.20833333333333,95.0,30.0,0.0,,15.416666666666666,32.0,88.71499999999999,29.695833333333336,4.8
2019-08-24,15.887500000000001,22.1,9.9,8.783333333333333,65.33333333333333,85.0,38.0,0.0,,10.875,27.0,88.35083333333334,41.84583333333334,8.1
2019-08-25,12.799999999999999,18.0,8.5,6.941666666666666,69.16666666666667,86.0,41.0,0.0,,7.916666666666667,32.0,88.85625,30.4375,11.3
2019-08-26,12.291666666666666,16.8,8.9,3.966666666666667,58.375,79.0,35.0,0.0,,13.0,35.0,89.50583333333333,41.99583333333334,8.1
2019-08-27,14.258333333333333,22.9,5.2,4.425,55.25,84.0,30.0,0.0,,10.583333333333334,22.0,89.31458333333335,40.56666666666667,24.1
2019-08-28,15.0625,17.4,12.8,6.95,58.5,77.0,46.0,0.0,,15.25,25.0,89.09500000000001,38.8875,16.1
