date,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2022-03-22,13.0,191.3,14.715384615384616,88.6842776786448,214.00297221006036,0.9818740900605648,0.0,0.0,0.0,399.5941996428686
2022-03-23,7.0,109.03,15.575714285714286,80.98417552193361,236.0226236371202,0.4270143927216982,2.1590999775236552e-05,1.0,0.77,160.7622402670025
2022-03-24,5.0,18.57,3.714,200.8404293179576,279.3514788834317,0.05788265873491555,0.00013725866326773863,3.0,11.8,200.8404293179576
2022-03-25,6.0,23.4,3.9,75.60401834845166,165.2389012785744,0.19555466877333222,0.0001725036186245204,1.0,2.77,154.66787796913835
2022-03-26,4.0,5.74,1.435,112.67901921145082,164.95007480862216,0.03133946968149921,4.830709533648461e-05,1.0,3.42,225.75929646521712
2022-03-27,3.0,5.48,1.8266666666666669,151.91765401458318,181.26827224957432,0.027762478227389573,0.0,0.0,0.0,399.5941996428686
2022-03-28,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-03-29,7.0,61.4,8.77142857142857,126.34904451742918,226.71104441440463,0.4096469970105904,0.00022992123169672093,4.0,11.21,152.57952406795633
2022-03-30,9.0,33.410000000000004,3.7122222222222225,143.98019692389965,279.31987968415405,0.13094545024322762,8.013104519885473e-06,0.0,0.0,399.5941996428686
2022-03-31,3.0,7.63,2.5433333333333334,160.88222765814947,244.92205761106405,0.028142373297421454,6.257594729128941e-05,1.0,1.94,190.95630688922884
2022-04-01,5.0,5.47,1.0939999999999999,191.65955609058307,312.2114847591335,0.01789194147637553,1.927810314712269e-05,2.0,1.8900000000000001,325.09323285664084
2022-04-02,7.0,35.66,5.094285714285713,89.84477944525734,219.04810142869096,0.17268189362429484,5.8591614445864365e-06,0.0,0.0,399.5941996428686
2022-04-03,10.0,27.5,2.75,260.29930429383097,306.67118346818836,0.0810090120802969,0.0,0.0,0.0,399.5941996428686
2022-04-04,2.0,3.59,1.795,276.7819807442,330.2605120882546,0.010171656166973962,0.0,0.0,0.0,399.5941996428686
2022-04-05,4.0,17.439999999999998,4.359999999999999,82.71057770327592,196.65323710716493,0.10302628653270463,0.000586992795882265,1.0,2.79,221.78380654219836
2022-04-06,6.0,16.91,2.8183333333333334,138.1612431836124,239.64485145056298,0.08547223762175364,6.238361377778552e-05,2.0,2.46,148.78643082379455
2022-04-07,15.0,58.35,3.89,74.48857572601972,238.33726096235483,0.2939727394026332,0.0006792246935398763,0.0,0.0,399.5941996428686
2022-04-08,9.0,66.13,7.347777777777777,30.69672068641816,238.43917849027048,0.5877474566396252,0.00037019332974389527,0.0,0.0,399.5941996428686
2022-04-09,10.0,76.16,7.616,223.57929780881673,254.7682396718119,0.3227770585529016,5.179508402724483e-05,1.0,1.92,370.77512667228535
2022-04-10,1.0,2.81,2.81,264.34347213954607,264.34347213954607,0.010590047598842758,0.0,0.0,0.0,399.5941996428686
2022-04-11,7.0,41.53,5.932857142857143,157.78980611145712,206.98013030379303,0.20854488789841114,0.00011306608550606271,1.0,3.07,157.78980611145712
2022-04-12,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-04-13,8.0,54.23,6.77875,139.9689055605154,314.5973088285685,0.1674200629295623,0.00030975408274791115,4.0,42.17,360.8084765740162
2022-04-14,2.0,6.390000000000001,3.1950000000000003,241.5246221453456,269.6527511058992,0.022931863717837946,2.31518217695827e-05,0.0,0.0,399.5941996428686
2022-04-15,2.0,5.62,2.81,261.31098390186594,262.49916340946345,0.021317137634977765,0.0,0.0,0.0,399.5941996428686
2022-04-16,6.0,13.65,2.275,263.9579728001364,325.5526631967828,0.04234435637679773,2.8585935427409745e-05,1.0,2.58,287.48825928377795
2022-04-17,2.0,1.58,0.79,152.6976513204316,152.86468057912202,0.010268775497986023,0.0,0.0,0.0,399.5941996428686
2022-04-18,9.0,16.88,1.8755555555555554,259.9495741306412,304.5339368533926,0.05533612060117987,4.101932194003049e-05,3.0,3.7800000000000002,259.9495741306412
