date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2018-04-13,9.71,1.0,1.1083333333333332,7.2,-3.5,-2.920833333333333,76.0,93.0,55.0,0.0,,13.583333333333334,24.0,88.87708333333335,20.858333333333334,2.4,-0.6702283208333334,1.8576825529166667,2.6364286086999766,3.770574129950728,160.1611987749916,0.808571666666694,9.097300000000018,-3.0697999999999865,-4.690374583333323,887.7014033333332,1.0,1.83,1.83,304.6363337437006,304.6363337437006,0.005987508021656204,5.023746406880198e-06,0.0,0.0,399.5941996428686
2018-04-14,5.07,1.0,3.704166666666667,9.9,-1.1,-3.475,61.416666666666664,80.0,31.0,0.0,,8.375,31.0,88.80541666666666,45.25833333333333,24.1,1.081268307875,1.6866448550833333,2.8664038152232294,4.709933371735672,212.66297625820258,4.751983750000022,9.987700000000018,0.5826700000000073,-4.465198749999956,888.1230620833334,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-15,10.2,1.0,2.7291666666666665,8.2,-0.9,-2.629166666666667,69.125,83.0,47.0,0.0,,13.208333333333334,29.0,88.48458333333333,43.583333333333336,16.1,0.09937222858333333,-0.07927957491666665,1.6881551585934294,3.7389135591551623,308.5830103249912,3.6037112500000035,8.834100000000035,-0.5250599999999963,-2.2364670833333093,885.6474650000001,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-16,8.9,1.0,0.10416666666666669,1.3,-1.3,-2.154166666666667,85.08333333333333,93.0,76.0,0.0,,19.5,32.0,87.97541666666666,12.679166666666667,0.6,0.09244537579166666,-2.97552935,3.1678814135356324,3.6750980253981,358.220475753792,0.6270179166667162,7.572930000000042,-1.144399999999962,-1.4224433333333195,882.1098225000001,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-17,16.0,1.0,0.10416666666666664,3.5,-3.7,-2.5833333333333335,82.875,96.0,67.0,0.0,,7.666666666666667,17.0,88.10291666666666,11.662500000000001,0.2,0.6674334166666668,-0.1813748616666667,1.805673844297176,2.7600457877224174,285.20297512757793,-0.2762437499999919,6.236230000000035,-6.092999999999961,-3.2739191666666443,878.1612916666667,1.0,5.14,5.14,160.56397474799155,160.56397474799155,0.031814022946745416,0.0,0.0,0.0,399.5941996428686
2018-04-18,2.25,1.0,3.2375000000000003,8.1,-3.5,-5.904166666666666,54.0,86.0,32.0,0.0,,13.708333333333334,24.0,89.31916666666666,44.59166666666667,24.1,0.24274317291666667,0.5912977854166667,1.8337785907979818,2.6949340537483306,202.31942974025827,1.430485416666727,8.008700000000033,-4.106179999999995,-5.776742916666649,890.9513029166666,11.0,13.1,1.190909090909091,74.11807086466986,249.54812569533823,0.06068093848355608,4.231774411926427e-05,0.0,0.0,399.5941996428686
2018-04-19,5.96,1.0,4.1125,9.5,-3.0,-3.7083333333333335,58.208333333333336,75.0,39.0,0.0,,10.0,26.0,89.32666666666667,47.612500000000004,24.1,-0.56421471125,1.6331246745833334,2.2485330793005804,4.77437141518181,160.94090483646954,2.9472712500000284,10.636000000000024,-3.67752999999999,-4.650613333333297,894.5538245833334,16.0,72.95,4.559375,133.67862989461713,304.13697236797015,0.2422706861617677,0.0002405397883248922,1.0,5.58,155.5322476797863
2018-04-20,6.43,1.0,7.133333333333333,12.9,-0.1,-5.170833333333333,43.916666666666664,69.0,25.0,0.0,,13.458333333333334,28.0,89.08291666666666,45.93333333333334,24.1,1.0097084065833333,0.8709265489166667,2.1587501421993394,3.6963953768639857,229.22050411704637,5.5025329166666666,13.122640000000047,-0.48629999999997153,-2.756876249999948,891.4233820833334,4.0,30.409999999999997,7.602499999999999,254.07536734048622,286.17278705347684,0.1091446514705671,0.0,0.0,0.0,399.5941996428686
2018-04-21,6.05,1.0,7.779166666666666,13.7,3.1,-4.804166666666666,43.208333333333336,67.0,20.0,0.0,,18.625,40.0,88.50458333333334,44.59166666666667,24.1,2.415375366,1.4691751366666665,3.729541247511159,8.648571746997213,238.6895423616911,6.449803750000058,13.02170000000001,2.4471700000000283,-1.5984674999999697,885.7426445833333,1.0,0.86,0.86,318.1017068569848,318.1017068569848,0.002695065496423168,0.0,0.0,0.0,399.5941996428686
2018-04-22,1.42,1.0,6.154166666666666,11.1,1.6,-8.654166666666667,35.666666666666664,62.0,19.0,0.0,,16.333333333333332,30.0,89.45625,46.604166666666664,24.1,3.5271243991666665,-1.1140842401041666,4.317592083328493,6.817375349670331,287.5293421020108,5.253287499999999,9.523220000000038,0.70052000000004,-7.207470833333275,892.4125279166666,12.0,22.34,1.8616666666666666,74.26459370074782,216.38092951848543,0.12212157249886782,0.00032460318963813345,5.0,9.54,74.26459370074782
